"","seqnames","start","end","width","strand","V4","V5","V6","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",4061820,4062018,199,"*","H33K36M_ATAC_peak_1",66,".","Intron (ENSMUST00000208660.1/19888, intron 25 of 29)",1,4344146,4360314,16169,2,"19888","ENSMUST00000027032.5",298296
"2","chr1",5022747,5023181,435,"*","H33K36M_ATAC_peak_5",83,".","Intron (ENSMUST00000118000.7/58175, intron 1 of 5)",1,4909576,5019539,109964,2,"58175","ENSMUST00000002533.14",-3208
"3","chr1",5128559,5128757,199,"*","H33K36M_ATAC_peak_8",45,".","Intron (ENSMUST00000192847.5/108664, intron 9 of 12)",1,5083164,5099777,16614,1,"108664","ENSMUST00000192142.1",45395
"4","chr1",6624144,6624342,199,"*","H33K36M_ATAC_peak_12",44,".","Intron (ENSMUST00000140079.7/240690, intron 2 of 23)",1,6730051,6860940,130890,1,"240690","ENSMUST00000043578.12",-105709
"5","chr1",8745046,8745244,199,"*","H33K36M_ATAC_peak_18",56,".","Intron (ENSMUST00000132064.7/71096, intron 5 of 19)",1,8363475,8803943,440469,2,"71096","ENSMUST00000115488.2",58699
"6","chr1",9565054,9565356,303,"*","H33K36M_ATAC_peak_20",107,".","Intron (ENSMUST00000144177.7/76187, intron 12 of 13)",1,9548119,9580673,32555,1,"76187","ENSMUST00000190654.1",16935
"7","chr1",9578594,9578792,199,"*","H33K36M_ATAC_peak_21",53,".","Intron (ENSMUST00000190654.1/76187, intron 14 of 14)",1,9601199,9627143,25945,1,"76982","ENSMUST00000088666.3",-22407
"8","chr1",9621546,9621745,200,"*","H33K36M_ATAC_peak_22",41,".","Intron (ENSMUST00000088666.3/76982, intron 4 of 5)",1,9560832,9631092,70261,2,"72481","ENSMUST00000115480.7",9347
"9","chr1",9627492,9627692,201,"*","H33K36M_ATAC_peak_23",56,".","Intron (ENSMUST00000115480.7/72481, intron 1 of 4)",1,9560832,9631092,70261,2,"72481","ENSMUST00000115480.7",3400
"10","chr1",9772875,9773254,380,"*","H33K36M_ATAC_peak_26",62,".","Intron (ENSMUST00000181821.7/73331, intron 2 of 3)",1,9748626,9770751,22126,1,"73331","ENSMUST00000209020.1",24249
"11","chr1",11458352,11458679,328,"*","H33K36M_ATAC_peak_31",75,".","Intron (ENSMUST00000171690.8/320492, intron 1 of 7)",1,11414509,11975397,560889,1,"320492","ENSMUST00000179089.7",43843
"12","chr1",15683691,15683889,199,"*","H33K36M_ATAC_peak_43",44,".","Intron (ENSMUST00000175681.2/98741, intron 2 of 2)",1,15805646,15844052,38407,1,"21749","ENSMUST00000188371.6",-121757
"13","chr1",20933543,20933802,260,"*","H33K36M_ATAC_peak_55",123,".","Intron (ENSMUST00000189400.6/74229, intron 2 of 2)",1,20922259,20935756,13498,1,"74229","ENSMUST00000187651.1",11284
"14","chr1",20974340,20974696,357,"*","H33K36M_ATAC_peak_57",103,".","Intron (ENSMUST00000038447.5/71877, intron 6 of 10)",1,20951688,20990841,39154,1,"71877","ENSMUST00000038447.5",22652
"15","chr1",21008887,21009164,278,"*","H33K36M_ATAC_peak_59",134,".","Intron (ENSMUST00000037998.5/170829, intron 4 of 10)",1,21004313,21043656,39344,2,"170829","ENSMUST00000187210.1",34492
