"","seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",4997201,5021200,24000,"*","Promoter",1,4909576,5019539,109964,2,"58175","ENSMUST00000002533.14",0
"2","chr1",6273001,6324000,51000,"*","3' UTR",1,6270678,6275575,4898,1,"12421","ENSMUST00000159656.1",2323
"3","chr1",6407601,6413800,6200,"*","Distal Intergenic",1,6359218,6394731,35514,1,"620393","ENSMUST00000133144.3",48383
"4","chr1",6447601,6479200,31600,"*","Distal Intergenic",1,6487231,6860934,373704,1,"240690","ENSMUST00000140079.7",-8031
"5","chr1",6620801,6626200,5400,"*","Intron (ENSMUST00000140079.7/240690, intron 2 of 23)",1,6730051,6860940,130890,1,"240690","ENSMUST00000043578.12",-103851
"6","chr1",7087801,7088000,200,"*","Promoter",1,7088920,7173628,84709,1,"319263","ENSMUST00000061280.16",-920
"7","chr1",7630601,7633800,3200,"*","Distal Intergenic",1,7160557,7172659,12103,1,"319263","ENSMUST00000183204.1",470044
"8","chr1",9563801,9580400,16600,"*","3' UTR",1,9548119,9580673,32555,1,"76187","ENSMUST00000190654.1",15682
"9","chr1",9624801,9640600,15800,"*","Promoter",1,9560832,9631092,70261,2,"72481","ENSMUST00000115480.7",0
"10","chr1",9660601,9662000,1400,"*","Distal Intergenic",1,9676132,9678610,2479,2,"17864","ENSMUST00000160022.1",16610
"11","chr1",9701401,9701800,400,"*","Distal Intergenic",1,9667415,9700209,32795,2,"17864","ENSMUST00000088658.10",-1192
"12","chr1",9800001,9800200,200,"*","Intron (ENSMUST00000166384.7/170755, intron 1 of 16)",1,9798208,9900008,101801,1,"170755","ENSMUST00000188298.6",1793
"13","chr1",10878401,10878800,400,"*","Distal Intergenic",1,10993465,11303681,310217,1,"109294","ENSMUST00000027056.11",-114665
"14","chr1",10899801,10900400,600,"*","Distal Intergenic",1,10993465,11303681,310217,1,"109294","ENSMUST00000027056.11",-93065
"15","chr1",10933601,10934400,800,"*","Distal Intergenic",1,10993465,11303681,310217,1,"109294","ENSMUST00000027056.11",-59065
"16","chr1",11659601,11659800,200,"*","Intron (ENSMUST00000048613.13/320492, intron 7 of 13)",1,11579306,11596631,17326,1,"320492","ENSMUST00000191437.1",80295
"17","chr1",11832601,11848800,16200,"*","Intron (ENSMUST00000048613.13/320492, intron 10 of 13)",1,11579306,11596631,17326,1,"320492","ENSMUST00000191437.1",253295
"18","chr1",11861601,11861800,200,"*","Intron (ENSMUST00000048613.13/320492, intron 10 of 13)",1,11579306,11596631,17326,1,"320492","ENSMUST00000191437.1",282295
