"","seqnames","start","end","width","strand","V4","V5","V6","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",4061819,4062018,200,"*","H33K36M_ATAC_peak_1",66,".","Intron (ENSMUST00000208660.1/19888, intron 25 of 29)",1,4344146,4360314,16169,2,"19888","ENSMUST00000027032.5",298296
"2","chr1",4785440,4785809,370,"*","H33K36M_ATAC_peak_2",43,".","Promoter",1,4773206,4785710,12505,2,"27395","ENSMUST00000130201.7",0
"3","chr1",4857408,4857857,450,"*","H33K36M_ATAC_peak_3",235,".","Promoter",1,4857814,4897905,40092,1,"21399","ENSMUST00000081551.13",0
"4","chr1",5017956,5018155,200,"*","H33K36M_ATAC_peak_4",67,".","Promoter",1,4910402,5018735,108334,2,"58175","ENSMUST00000119256.7",580
"5","chr1",5022746,5023181,436,"*","H33K36M_ATAC_peak_5",83,".","Intron (ENSMUST00000118000.7/58175, intron 1 of 5)",1,4909576,5019539,109964,2,"58175","ENSMUST00000002533.14",-3207
"6","chr1",5070277,5070531,255,"*","H33K36M_ATAC_peak_6",103,".","Promoter",1,4909576,5070285,160710,2,"58175","ENSMUST00000118000.7",0
"7","chr1",5083007,5083354,348,"*","H33K36M_ATAC_peak_7",119,".","Promoter",1,5083080,5162529,79450,1,"108664","ENSMUST00000044369.12",0
"8","chr1",5128558,5128757,200,"*","H33K36M_ATAC_peak_8",45,".","Intron (ENSMUST00000192847.5/108664, intron 9 of 12)",1,5083164,5099777,16614,1,"108664","ENSMUST00000192142.1",45394
"9","chr1",6214439,6214815,377,"*","H33K36M_ATAC_peak_9",162,".","Promoter",1,6214645,6276648,62004,1,"12421","ENSMUST00000027040.12",0
"10","chr1",6279845,6280112,268,"*","H33K36M_ATAC_peak_10",42,".","Distal Intergenic",1,6270678,6275575,4898,1,"12421","ENSMUST00000159656.1",9167
"11","chr1",6454154,6454531,378,"*","H33K36M_ATAC_peak_11",67,".","Distal Intergenic",1,6487231,6860934,373704,1,"240690","ENSMUST00000140079.7",-32700
"12","chr1",6624143,6624342,200,"*","H33K36M_ATAC_peak_12",44,".","Intron (ENSMUST00000140079.7/240690, intron 2 of 23)",1,6730051,6860940,130890,1,"240690","ENSMUST00000043578.12",-105709
"13","chr1",6969883,6970165,283,"*","H33K36M_ATAC_peak_13",82,".","Distal Intergenic",1,6857341,6859604,2264,1,"240690","ENSMUST00000130338.1",112542
