"","seqnames","start","end","width","strand","V4","V5","V6","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",6279846,6280112,267,"*","H33K36M_ATAC_peak_10",42,".","Distal Intergenic",1,6270678,6275575,4898,1,"12421","ENSMUST00000159656.1",9168
"2","chr1",6454155,6454531,377,"*","H33K36M_ATAC_peak_11",67,".","Distal Intergenic",1,6487231,6860934,373704,1,"240690","ENSMUST00000140079.7",-32700
"3","chr1",6969884,6970165,282,"*","H33K36M_ATAC_peak_13",82,".","Distal Intergenic",1,6857341,6859604,2264,1,"240690","ENSMUST00000130338.1",112543
"4","chr1",7206658,7206929,272,"*","H33K36M_ATAC_peak_15",125,".","Distal Intergenic",1,7160557,7172659,12103,1,"319263","ENSMUST00000183204.1",46101
"5","chr1",7680533,7680793,261,"*","H33K36M_ATAC_peak_17",51,".","Distal Intergenic",1,7160557,7172659,12103,1,"319263","ENSMUST00000183204.1",519976
"6","chr1",12398324,12398746,423,"*","H33K36M_ATAC_peak_32",103,".","Distal Intergenic",1,12425986,12426106,121,1,"102465961","ENSMUST00000183490.1",-27240
"7","chr1",13423652,13423881,230,"*","H33K36M_ATAC_peak_35",75,".","Distal Intergenic",1,13164501,13374083,209583,2,"17978","ENSMUST00000147927.7",-49569
"8","chr1",13752501,13752714,214,"*","H33K36M_ATAC_peak_38",64,".","Distal Intergenic",1,13785883,13786879,997,2,"433273","ENSMUST00000180415.1",34165
"9","chr1",13915259,13915542,284,"*","H33K36M_ATAC_peak_39",105,".","Distal Intergenic",1,13785883,13786879,997,2,"433273","ENSMUST00000180415.1",-128380
"10","chr1",14462642,14462840,199,"*","H33K36M_ATAC_peak_40",55,".","Distal Intergenic",1,14168958,14310235,141278,2,"14048","ENSMUST00000168081.8",-152407
"11","chr1",14484524,14484790,267,"*","H33K36M_ATAC_peak_41",85,".","Distal Intergenic",1,14168958,14310235,141278,2,"14048","ENSMUST00000168081.8",-174289
"12","chr1",14512475,14512884,410,"*","H33K36M_ATAC_peak_42",114,".","Distal Intergenic",1,14168958,14310235,141278,2,"14048","ENSMUST00000168081.8",-202240
"13","chr1",17120003,17120241,239,"*","H33K36M_ATAC_peak_49",50,".","Distal Intergenic",1,16994938,17097889,102952,2,"57339","ENSMUST00000038382.4",-22114
"14","chr1",20848516,20849030,515,"*","H33K36M_ATAC_peak_52",231,".","Distal Intergenic",1,20802968,20820312,17345,2,"17215","ENSMUST00000053266.10",-28204
"15","chr1",21166319,21166517,199,"*","H33K36M_ATAC_peak_62",69,".","Distal Intergenic",1,21218575,21230167,11593,1,"75712","ENSMUST00000027065.11",-52058
"16","chr1",22070204,22070402,199,"*","H33K36M_ATAC_peak_65",32,".","Distal Intergenic",1,21398408,21961942,563535,2,"226922","ENSMUST00000115300.7",-108262
"17","chr1",22269035,22269233,199,"*","H33K36M_ATAC_peak_66",52,".","Distal Intergenic",1,22286915,22315805,28891,2,"116837","ENSMUST00000164877.7",46572
"18","chr1",23286797,23287018,222,"*","H33K36M_ATAC_peak_70",65,".","Distal Intergenic",1,23291537,23291935,399,1,"723964","ENSMUST00000182303.1",-4519
"19","chr1",23337139,23337456,318,"*","H33K36M_ATAC_peak_71",60,".","Distal Intergenic",1,23369724,23380801,11078,2,"70155","ENSMUST00000186064.6",43345
"20","chr1",23705426,23705624,199,"*","H33K36M_ATAC_peak_73",32,".","Distal Intergenic",1,23761753,23815740,53988,1,"280645","ENSMUST00000144602.1",-56129
"21","chr1",23966233,23966431,199,"*","H33K36M_ATAC_peak_75",57,".","Distal Intergenic",1,24002966,24005630,2665,2,"68002","ENSMUST00000155767.2",39199
"22","chr1",26034058,26034423,366,"*","H33K36M_ATAC_peak_85",146,".","Distal Intergenic",1,25067550,25829707,762158,2,"210933","ENSMUST00000151309.7",-204351
"23","chr1",26781266,26781558,293,"*","H33K36M_ATAC_peak_86",93,".","Distal Intergenic",1,26681814,26687460,5647,2,"210940","ENSMUST00000097801.3",-93806
"24","chr1",28328590,28328936,347,"*","H33K36M_ATAC_peak_87",125,".","Distal Intergenic",1,27884046,27902396,18351,1,"433281","ENSMUST00000185409.1",444544
"25","chr1",32105656,32105854,199,"*","H33K36M_ATAC_peak_93",34,".","Distal Intergenic",1,32172714,32658568,485855,1,"170771","ENSMUST00000027226.11",-66860
"26","chr1",33712148,33712357,210,"*","H33K36M_ATAC_peak_96",89,".","Distal Intergenic",1,33719887,33723837,3951,1,"19335","ENSMUST00000195006.5",-7530
"27","chr1",35935330,35935664,335,"*","H33K36M_ATAC_peak_116",94,".","Distal Intergenic",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",-132736
"28","chr1",36326155,36326365,211,"*","H33K36M_ATAC_peak_121",40,".","Distal Intergenic",1,36317027,36318132,1106,1,"214855","ENSMUST00000141121.1",9128
"29","chr1",38979948,38980330,383,"*","H33K36M_ATAC_peak_143",118,".","Distal Intergenic",1,38985608,38997238,11631,1,"68833","ENSMUST00000027247.10",-5278
"30","chr1",39868016,39868244,229,"*","H33K36M_ATAC_peak_149",44,".","Distal Intergenic",1,39842428,39847334,4907,2,"73426","ENSMUST00000186683.1",-20682
"31","chr1",41555676,41555874,199,"*","H33K36M_ATAC_peak_156",54,".","Distal Intergenic",1,41167587,41181252,13666,2,"74897","ENSMUST00000194002.1",-374424
"32","chr1",42527642,42527840,199,"*","H33K36M_ATAC_peak_157",71,".","Distal Intergenic",1,42648200,42651679,3480,2,"66297","ENSMUST00000176977.7",123839
"33","chr1",43224235,43224433,199,"*","H33K36M_ATAC_peak_163",53,".","Distal Intergenic",1,43123290,43196984,73695,2,"14200","ENSMUST00000185893.1",-27251
"34","chr1",43694864,43695062,199,"*","H33K36M_ATAC_peak_164",58,".","Distal Intergenic",1,43730602,43742578,11977,1,"78896","ENSMUST00000027217.8",-35540
"35","chr1",44229253,44229524,272,"*","H33K36M_ATAC_peak_171",44,".","Distal Intergenic",1,44204070,44218961,14892,2,"403183","ENSMUST00000054801.3",-10292
"36","chr1",44812428,44812675,248,"*","H33K36M_ATAC_peak_175",60,".","Distal Intergenic",1,44739676,44744949,5274,2,"75066","ENSMUST00000186732.1",-67479
"37","chr1",45356092,45356290,199,"*","H33K36M_ATAC_peak_176",48,".","Distal Intergenic",1,45339958,45347766,7809,1,"12825","ENSMUST00000186021.1",16134
"38","chr1",45672803,45673076,274,"*","H33K36M_ATAC_peak_179",188,".","Distal Intergenic",1,45795166,45823619,28454,1,"73674","ENSMUST00000027139.14",-122090
"39","chr1",45675776,45676075,300,"*","H33K36M_ATAC_peak_180",46,".","Distal Intergenic",1,45795166,45823619,28454,1,"73674","ENSMUST00000027139.14",-119091
"40","chr1",45767592,45767790,199,"*","H33K36M_ATAC_peak_181",53,".","Distal Intergenic",1,45795166,45823619,28454,1,"73674","ENSMUST00000027139.14",-27376
"41","chr1",45837779,45838029,251,"*","H33K36M_ATAC_peak_183",85,".","Distal Intergenic",1,45822558,45823616,1059,1,"73674","ENSMUST00000186651.1",15221
"42","chr1",46408718,46409122,405,"*","H33K36M_ATAC_peak_185",129,".","Distal Intergenic",1,46425592,46807476,381885,1,"100101919","ENSMUST00000189749.6",-16470
"43","chr1",50025910,50026170,261,"*","H33K36M_ATAC_peak_187",163,".","Distal Intergenic",1,49244616,49340443,95828,1,"442837","ENSMUST00000188673.6",781294
"44","chr1",50812261,50812473,213,"*","H33K36M_ATAC_peak_188",41,".","Distal Intergenic",1,50909962,50979920,69959,1,"56363","ENSMUST00000114565.7",-97489
"45","chr1",51689937,51690172,236,"*","H33K36M_ATAC_peak_196",68,".","Distal Intergenic",1,51760353,51764470,4118,2,"17912","ENSMUST00000145367.1",74298
"46","chr1",52302627,52302825,199,"*","H33K36M_ATAC_peak_203",75,".","Distal Intergenic",1,52184104,52233232,49129,2,"14660","ENSMUST00000114510.7",-69395
"47","chr1",52354381,52354588,208,"*","H33K36M_ATAC_peak_204",68,".","Distal Intergenic",1,52459241,52467057,7817,2,"17936","ENSMUST00000167732.1",112469
"48","chr1",53053115,53053390,276,"*","H33K36M_ATAC_peak_208",68,".","Distal Intergenic",1,53061640,53068079,6440,1,"17700","ENSMUST00000027269.6",-8250
"49","chr1",53715361,53715604,244,"*","H33K36M_ATAC_peak_212",106,".","Distal Intergenic",1,53698030,53706784,8755,2,"627872","ENSMUST00000189677.1",-8577
"50","chr1",55383186,55383480,295,"*","H33K36M_ATAC_peak_227",57,".","Distal Intergenic",1,55346257,55363469,17213,2,"75388","ENSMUST00000159398.1",-19717
"51","chr1",55865340,55865658,319,"*","H33K36M_ATAC_peak_229",75,".","Distal Intergenic",1,55931241,55972098,40858,1,"329159","ENSMUST00000189293.1",-65583
"52","chr1",55874241,55874512,272,"*","H33K36M_ATAC_peak_230",68,".","Distal Intergenic",1,55931241,55972098,40858,1,"329159","ENSMUST00000189293.1",-56729
"53","chr1",59508736,59508990,255,"*","H33K36M_ATAC_peak_254",42,".","Distal Intergenic",1,59516264,59634509,118246,1,"381260","ENSMUST00000114243.7",-7274
"54","chr1",60158474,60158733,260,"*","H33K36M_ATAC_peak_262",48,".","Distal Intergenic",1,60141448,60148027,6580,1,"241066","ENSMUST00000132949.2",17026
"55","chr1",60859916,60860114,199,"*","H33K36M_ATAC_peak_268",56,".","Distal Intergenic",1,60887000,60912716,25717,1,"12477","ENSMUST00000124816.1",-26886
