"","seqnames","start","end","width","strand","V4","V5","V6","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"1","chr1",4785441,4785809,369,"*","H33K36M_ATAC_peak_2",43,".","Promoter",1,4773206,4785710,12505,2,"27395","ENSMUST00000130201.7",0
"2","chr1",4857409,4857857,449,"*","H33K36M_ATAC_peak_3",235,".","Promoter",1,4857814,4897905,40092,1,"21399","ENSMUST00000081551.13",0
"3","chr1",5017957,5018155,199,"*","H33K36M_ATAC_peak_4",67,".","Promoter",1,4910402,5018735,108334,2,"58175","ENSMUST00000119256.7",580
"4","chr1",5070278,5070531,254,"*","H33K36M_ATAC_peak_6",103,".","Promoter",1,4909576,5070285,160710,2,"58175","ENSMUST00000118000.7",0
"5","chr1",5083008,5083354,347,"*","H33K36M_ATAC_peak_7",119,".","Promoter",1,5083080,5162529,79450,1,"108664","ENSMUST00000044369.12",0
"6","chr1",6214440,6214815,376,"*","H33K36M_ATAC_peak_9",162,".","Promoter",1,6214645,6276648,62004,1,"12421","ENSMUST00000027040.12",0
"7","chr1",7088544,7089231,688,"*","H33K36M_ATAC_peak_14",488,".","Promoter",1,7088920,7173628,84709,1,"319263","ENSMUST00000061280.16",0
"8","chr1",9545111,9545531,421,"*","H33K36M_ATAC_peak_19",312,".","Promoter",1,9545408,9547455,2048,1,"59014","ENSMUST00000072079.8",0
"9","chr1",9700260,9700888,629,"*","H33K36M_ATAC_peak_24",213,".","Promoter",1,9667415,9700209,32795,2,"17864","ENSMUST00000088658.10",-51
"10","chr1",9748269,9748748,480,"*","H33K36M_ATAC_peak_25",457,".","Promoter",1,9718622,9748382,29761,2,"70675","ENSMUST00000057438.6",0
"11","chr1",9943979,9944365,387,"*","H33K36M_ATAC_peak_27",364,".","Promoter",1,9941959,9944118,2160,2,"73824","ENSMUST00000182580.7",0
"12","chr1",10004354,10004552,199,"*","H33K36M_ATAC_peak_28",50,".","Promoter",1,9968624,10003453,34830,2,"69312","ENSMUST00000124874.7",-901
"13","chr1",10037815,10038093,279,"*","H33K36M_ATAC_peak_29",77,".","Promoter",1,10038006,10047534,9529,1,"211660","ENSMUST00000191012.6",0
"14","chr1",10232951,10233276,326,"*","H33K36M_ATAC_peak_30",94,".","Promoter",1,10173075,10232670,59596,2,"211673","ENSMUST00000131556.1",-281
"15","chr1",12718159,12718385,227,"*","H33K36M_ATAC_peak_33",56,".","Promoter",1,12718459,12822916,104458,1,"240725","ENSMUST00000187376.6",-74
"16","chr1",13372376,13372972,597,"*","H33K36M_ATAC_peak_34",365,".","Promoter",1,13139105,13372439,233335,2,"17978","ENSMUST00000081713.10",0
"17","chr1",13659916,13660232,317,"*","H33K36M_ATAC_peak_36",73,".","Promoter",1,13623330,13660546,37217,2,"212442","ENSMUST00000027071.6",314
"18","chr1",13660365,13660699,335,"*","H33K36M_ATAC_peak_37",113,".","Promoter",1,13623330,13660546,37217,2,"212442","ENSMUST00000027071.6",0
"19","chr1",15805389,15805754,366,"*","H33K36M_ATAC_peak_44",299,".","Promoter",1,15805646,15844052,38407,1,"21749","ENSMUST00000188371.6",0
"20","chr1",16104644,16104872,229,"*","H33K36M_ATAC_peak_45",67,".","Promoter",1,16101295,16104662,3368,2,"19989","ENSMUST00000058437.13",0
"21","chr1",16619218,16619584,367,"*","H33K36M_ATAC_peak_47",228,".","Promoter",1,16540790,16619312,78523,2,"66799","ENSMUST00000182554.8",0
"22","chr1",16656827,16657570,744,"*","H33K36M_ATAC_peak_48",253,".","Promoter",1,16657552,16662278,4727,1,"329101","ENSMUST00000181371.1",0
"23","chr1",20678086,20678345,260,"*","H33K36M_ATAC_peak_50",68,".","Promoter",1,20679010,20679082,73,1,"387202","ENSMUST00000083625.1",-665
"24","chr1",20820199,20820589,391,"*","H33K36M_ATAC_peak_51",496,".","Promoter",1,20802968,20820312,17345,2,"17215","ENSMUST00000053266.10",0
"25","chr1",20890444,20890665,222,"*","H33K36M_ATAC_peak_54",91,".","Promoter",1,20890606,20939650,49045,1,"74229","ENSMUST00000189400.6",0
"26","chr1",20951488,20951757,270,"*","H33K36M_ATAC_peak_56",83,".","Promoter",1,20951626,20955527,3902,1,"71877","ENSMUST00000160782.1",0
"27","chr1",21218495,21218945,451,"*","H33K36M_ATAC_peak_63",82,".","Promoter",1,21218575,21230167,11593,1,"75712","ENSMUST00000027065.11",0
"28","chr1",23271050,23271773,724,"*","H33K36M_ATAC_peak_69",197,".","Promoter",1,23272269,23272339,71,1,"387225","ENSMUST00000083471.3",-496
"29","chr1",23383293,23383595,303,"*","H33K36M_ATAC_peak_72",159,".","Promoter",1,23366424,23383175,16752,2,"70155","ENSMUST00000027343.5",-118
"30","chr1",23922160,23922523,364,"*","H33K36M_ATAC_peak_74",172,".","Promoter",1,23845625,23922317,76693,2,"98366","ENSMUST00000027339.13",0
"31","chr1",24005598,24005845,248,"*","H33K36M_ATAC_peak_76",125,".","Promoter",1,23995939,24005656,9718,2,"68002","ENSMUST00000027338.3",0
"32","chr1",24099970,24100168,199,"*","H33K36M_ATAC_peak_77",51,".","Promoter",1,24011591,24100182,88592,2,"68187","ENSMUST00000187369.6",14
"33","chr1",24100300,24100563,264,"*","H33K36M_ATAC_peak_78",72,".","Promoter",1,24011681,24100333,88653,2,"68187","ENSMUST00000027337.14",0
"34","chr1",24678195,24678835,641,"*","H33K36M_ATAC_peak_82",160,".","Promoter",1,24678630,24765448,86819,1,"68421","ENSMUST00000191471.6",0
"35","chr1",30873595,30873793,199,"*","H33K36M_ATAC_peak_88",49,".","Promoter",1,30813571,30873695,60125,2,"213109","ENSMUST00000186105.6",0
"36","chr1",30873907,30874105,199,"*","H33K36M_ATAC_peak_89",57,".","Promoter",1,30815315,30873921,58607,2,"213109","ENSMUST00000191245.6",0
"37","chr1",30949644,30950386,743,"*","H33K36M_ATAC_peak_90",379,".","Promoter",1,30940302,30949770,9469,2,"19243","ENSMUST00000233506.1",0
"38","chr1",31095798,31096033,236,"*","H33K36M_ATAC_peak_92",56,".","Promoter",1,31019188,31096454,77267,2,"102634473","ENSMUST00000188605.1",421
"39","chr1",33757722,33757920,199,"*","H33K36M_ATAC_peak_99",56,".","Promoter",1,33745484,33757795,12312,2,"213539","ENSMUST00000044691.8",0
"40","chr1",33814237,33814717,481,"*","H33K36M_ATAC_peak_101",220,".","Promoter",1,33761545,33814385,52841,2,"98403","ENSMUST00000139143.7",0
"41","chr1",33907852,33908163,312,"*","H33K36M_ATAC_peak_102",119,".","Promoter",1,33852052,33907816,55765,2,"320705","ENSMUST00000062289.10",-36
"42","chr1",34005742,34005963,222,"*","H33K36M_ATAC_peak_105",102,".","Promoter",1,34005880,34174795,168916,1,"13518","ENSMUST00000187486.6",0
"43","chr1",34011083,34011312,230,"*","H33K36M_ATAC_peak_106",99,".","Promoter",1,34011813,34308652,296840,1,"13518","ENSMUST00000097786.9",-501
"44","chr1",34011368,34011570,203,"*","H33K36M_ATAC_peak_107",66,".","Promoter",1,34011813,34308652,296840,1,"13518","ENSMUST00000097786.9",-243
"45","chr1",34236412,34236714,303,"*","H33K36M_ATAC_peak_111",101,".","Promoter",1,34236596,34274283,37688,1,"13518","ENSMUST00000194192.2",0
"46","chr1",34439240,34439555,316,"*","H33K36M_ATAC_peak_112",132,".","Promoter",1,34436670,34439672,3003,2,"69668","ENSMUST00000042493.9",117
"47","chr1",34439689,34440005,317,"*","H33K36M_ATAC_peak_113",156,".","Promoter",1,34439851,34449356,9506,1,"27993","ENSMUST00000027303.13",0
"48","chr1",34459641,34459893,253,"*","H33K36M_ATAC_peak_114",59,".","Promoter",1,34459765,34473784,14020,1,"19253","ENSMUST00000027302.13",0
"49","chr1",36068174,36068372,199,"*","H33K36M_ATAC_peak_118",73,".","Promoter",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",-28
"50","chr1",36244003,36244469,467,"*","H33K36M_ATAC_peak_119",97,".","Promoter",1,36140027,36244305,104279,2,"320011","ENSMUST00000046875.13",0
"51","chr1",36307519,36307875,357,"*","H33K36M_ATAC_peak_120",79,".","Promoter",1,36307733,36319203,11471,1,"214855","ENSMUST00000126413.7",0
"52","chr1",36445227,36445501,275,"*","H33K36M_ATAC_peak_122",105,".","Promoter",1,36422065,36445271,23207,2,"214895","ENSMUST00000125304.7",0
"53","chr1",36511681,36511974,294,"*","H33K36M_ATAC_peak_124",146,".","Promoter",1,36511867,36528237,16371,1,"94218","ENSMUST00000001166.13",0
"54","chr1",36547150,36547557,408,"*","H33K36M_ATAC_peak_125",109,".","Promoter",1,36537507,36547219,9713,2,"109346","ENSMUST00000207843.1",0
"55","chr1",36691317,36691617,301,"*","H33K36M_ATAC_peak_126",56,".","Promoter",1,36691449,36693386,1938,1,"12859","ENSMUST00000081180.6",0
"56","chr1",36709851,36710256,406,"*","H33K36M_ATAC_peak_127",94,".","Promoter",1,36698114,36710008,11895,2,"226977","ENSMUST00000043951.9",0
"57","chr1",37299790,37299995,206,"*","H33K36M_ATAC_peak_130",68,".","Promoter",1,37299865,37348512,48648,1,"269180","ENSMUST00000146676.1",0
"58","chr1",37429924,37430338,415,"*","H33K36M_ATAC_peak_131",157,".","Promoter",1,37430139,37438984,8846,1,"67387","ENSMUST00000114925.9",0
"59","chr1",37540964,37541276,313,"*","H33K36M_ATAC_peak_132",131,".","Promoter",1,37439340,37541016,101677,2,"269181","ENSMUST00000151952.7",0
"60","chr1",37864762,37865501,740,"*","H33K36M_ATAC_peak_133",298,".","Promoter",1,37754776,37865079,110304,2,"211484","ENSMUST00000041815.14",0
"61","chr1",37871660,37872011,352,"*","H33K36M_ATAC_peak_134",39,".","Promoter",1,37871738,37875343,3606,1,"623661","ENSMUST00000128085.1",0
"62","chr1",37890380,37890625,246,"*","H33K36M_ATAC_peak_135",43,".","Promoter",1,37890477,37898535,8059,1,"107734","ENSMUST00000027256.11",0
"63","chr1",37997162,37997446,285,"*","H33K36M_ATAC_peak_137",154,".","Promoter",1,37985189,37997315,12127,2,"98258","ENSMUST00000162031.7",0
"64","chr1",37997951,37998221,271,"*","H33K36M_ATAC_peak_138",75,".","Promoter",1,37998010,38055579,57570,1,"226982","ENSMUST00000027252.7",0
"65","chr1",38129941,38130139,199,"*","H33K36M_ATAC_peak_139",46,".","Promoter",1,38107683,38129801,22119,2,"56210","ENSMUST00000195383.1",-140
"66","chr1",38987436,38987797,362,"*","H33K36M_ATAC_peak_144",205,".","Promoter",1,38987841,38994917,7077,1,"68833","ENSMUST00000193489.1",-44
"67","chr1",39367732,39367930,199,"*","H33K36M_ATAC_peak_146",61,".","Promoter",1,39367842,39371911,4070,1,"114641","ENSMUST00000086535.11",0
"68","chr1",39478670,39478868,199,"*","H33K36M_ATAC_peak_147",38,".","Promoter",1,39371492,39478755,107264,2,"54610","ENSMUST00000054462.10",0
"69","chr1",39535522,39535802,281,"*","H33K36M_ATAC_peak_148",57,".","Promoter",1,39535802,39546873,11072,1,"52846","ENSMUST00000003219.13",0
"70","chr1",40224818,40225193,376,"*","H33K36M_ATAC_peak_150",44,".","Promoter",1,40225080,40317257,92178,1,"16177","ENSMUST00000027241.10",0
"71","chr1",40436011,40436209,199,"*","H33K36M_ATAC_peak_152",63,".","Promoter",1,40436589,40441407,4819,1,"17082","ENSMUST00000173881.7",-380
"72","chr1",40789645,40790096,452,"*","H33K36M_ATAC_peak_154",111,".","Promoter",1,40781230,40790657,9428,2,"211798","ENSMUST00000144385.1",561
"73","chr1",42851017,42851439,423,"*","H33K36M_ATAC_peak_158",369,".","Promoter",1,42851233,42905682,54450,1,"69527","ENSMUST00000057208.12",0
"74","chr1",43092682,43092929,248,"*","H33K36M_ATAC_peak_159",41,".","Promoter",1,43047220,43092729,45510,2,"73122","ENSMUST00000186694.6",0
"75","chr1",43098383,43098993,611,"*","H33K36M_ATAC_peak_160",169,".","Promoter",1,43047200,43098622,51423,2,"73122","ENSMUST00000095014.7",0
"76","chr1",43163753,43164273,521,"*","H33K36M_ATAC_peak_161",69,".","Promoter",1,43123074,43163961,40888,2,"14200","ENSMUST00000008280.13",0
"77","chr1",43827697,43828137,441,"*","H33K36M_ATAC_peak_165",88,".","Promoter",1,43746966,43827800,80835,2,"67883","ENSMUST00000126008.7",0
"78","chr1",43933521,43934056,536,"*","H33K36M_ATAC_peak_166",309,".","Promoter",1,43933647,43949405,15759,1,"22019","ENSMUST00000185579.6",0
"79","chr1",44102198,44102673,476,"*","H33K36M_ATAC_peak_167",128,".","Promoter",1,44086613,44102391,15779,2,"75623","ENSMUST00000027215.11",0
"80","chr1",44118727,44119083,357,"*","H33K36M_ATAC_peak_168",256,".","Promoter",1,44118957,44126566,7610,1,"246229","ENSMUST00000155917.7",0
"81","chr1",44119855,44120120,266,"*","H33K36M_ATAC_peak_169",106,".","Promoter",1,44119968,44144770,24803,1,"246229","ENSMUST00000114709.2",0
"82","chr1",44147641,44148097,457,"*","H33K36M_ATAC_peak_170",159,".","Promoter",1,44147847,44181260,33414,1,"22592","ENSMUST00000027214.3",0
"83","chr1",44551525,44551723,199,"*","H33K36M_ATAC_peak_172",81,".","Promoter",1,44551693,44788874,237182,1,"70676","ENSMUST00000160854.7",0
"84","chr1",45502992,45503255,264,"*","H33K36M_ATAC_peak_178",75,".","Promoter",1,45374321,45503282,128962,2,"12832","ENSMUST00000086430.4",27
"85","chr1",45795022,45795571,550,"*","H33K36M_ATAC_peak_182",156,".","Promoter",1,45795166,45823619,28454,1,"73674","ENSMUST00000027139.14",0
"86","chr1",46066681,46066919,239,"*","H33K36M_ATAC_peak_184",49,".","Promoter",1,46066738,46373546,306809,1,"227058","ENSMUST00000238593.1",0
